year_and_month,E. coli,Salmonella
Jan,4649,13914
Feb,3752,11416
Mar,4327,13221
Apr,4528,15832
May,5880,19364
Jun,7092,23411
Jul,8307,30197
Aug,7953,31152
Sep,6388,29669
Oct,5753,25480
Nov,5124,18352
Dec,3932,14256
